code,title,definition,code_range,class_kind,inclusions,exclusions
679604439,"Acute and transient psychotic disorder, multiple episodes","Acute and transient psychotic disorder, multiple episodes should be used to identify individuals experiencing symptoms that meet the diagnostic requirements for acute and transient psychotic disorder and who have experienced similar episodes in the past.",,category,,
1429171137,"Acute and transient psychotic disorder, first episode, in full remission","All definitional requirements for Acute and transient psychotic disorder, first episode in terms of symptoms and duration were previously met. Symptoms have ameliorated such that no significant symptoms remain. The remission may have occurred in response to medication or other treatment.",,category,,
601226803,"Disorders due to use of multiple specified psychoactive substances, including medications","Disorders due to use of multiple specified psychoactive substances, including medications are characterised by the pattern and consequences of multiple psychoactive substances. Although this grouping is provided for coding purposes, in most clinical situations it is recommended that multiple specific disorders due to substance use be assigned rather than using categories from this grouping.",,category,,
194105820,Dementia due to Down syndrome,"Dementia due to Down syndrome is a neurodegenerative disorder related to the impact of abnormal increased production and accumulation of amyloid precursor protein (APP) leading to formation of beta-amyloid plaques and tau tangles. APP gene expression is increased due to its location on chromosome 21, which is abnormally triplicated in Down syndrome. Cognitive deficits and neuropathological features are similar to those observed in Alzheimer disease. Onset is typically after the fourth decade of life with a gradual decline in functioning, and may impact 50% or more of individuals with Down syndrome.",,category,,
1136092121,"Harmful pattern of use of stimulants including amphetamines, methamphetamine or methcathinone, continuous","A pattern of use of stimulants including amphetamines, methamphetamine and methcathinone but excluding caffeine, cocaine and synthetic cathinones that has caused damage to a person’s physical or mental health or has resulted in behaviour leading to harm to the health of others. The pattern of stimulant use is evident over a period of at least 12 months if substance use is episodic or at least one month if use is continuous (i.e., daily or almost daily). Harm to health of the individual occurs due to one or more of the following: (1) behaviour related to intoxication; (2) direct or secondary toxic effects on body organs and systems; or (3) a harmful route of administration. Harm to health of others includes any form of physical harm, including trauma, or mental disorder that is directly attributable to behaviour related to stimulant intoxication on the part of the person to whom the diagnosis of Harmful pattern of use of stimulants including amphetamines, methamphetamine and methcathinone applies.",,category,,"Episode of harmful use of stimulants including amphetamines, methamphetamine or methcathinone|Stimulant dependence including amphetamines, methamphetamine or methcathinone"
33269655,Developmental speech or language disorders,"Developmental speech or language disorders arise during the developmental period and are characterised by difficulties in understanding or producing speech and language or in using language in context for the purposes of communication that are outside the limits of normal variation expected for age and level of intellectual functioning. The observed speech and language problems are not attributable to regional, social, or cultural/ethnic language variations and are not fully explained by anatomical or neurological abnormalities. The presumptive aetiology for Developmental speech or language disorders is complex, and in many individual cases, is unknown.",,category,,
1603403079,"Secondary psychotic syndrome, with unspecified symptoms",,,category,,
374726152,"Bipolar type I disorder, current episode manic, without psychotic symptoms","Bipolar type I disorder, current episode manic, without psychotic symptoms is diagnosed when the definitional requirements for Bipolar type I disorder are met, the current episode is manic, and there are no delusions or hallucinations present during the episode. A manic episode is an extreme mood state lasting at least one week unless shortened by a treatment intervention characterised by euphoria, irritability, or expansiveness, and by increased activity or a subjective experience of increased energy, accompanied by other characteristic symptoms such as rapid or pressured speech, flight of ideas, increased self-esteem or grandiosity, decreased need for sleep, distractibility, impulsive or reckless behaviour, and rapid changes among different mood states (i.e., mood lability). If the individual has experienced Manic or Mixed Episodes in the past, a duration of one week is not required in order to diagnose a current episode if all other diagnostic requirements are met.",,category,,
663160065,Opioid withdrawal,"Opioid withdrawal is a clinically significant cluster of symptoms, behaviours and/or physiological features, varying in degree of severity and duration, that occurs upon cessation or reduction of use of opioids in individuals who have developed Opioid dependence or have used opioids for a prolonged period or in large amounts. Opioid withdrawal can also occur when prescribed opioids have been used in standard therapeutic doses. Presenting features of Opioid withdrawal may include dysphoric mood, craving for an opioid, anxiety, nausea or vomiting, abdominal cramps, muscle aches, yawning, perspiration, hot and cold flushes, lacrimation, rhinorrhea, hypersomnia (typically in the initial phase) or insomnia, diarrhea, piloerection, and pupillary dilatation.",,category,,
311183726,"Harmful pattern of use of other specified psychoactive substance, continuous","A pattern of continuous (daily or almost daily) use of a specified psychoactive substance or medication that is not included in the other substance classes specifically identified under Disorders Due to Substance Use that has caused damage to a person’s physical or mental health or has resulted in behaviour leading to harm to the health of others. The pattern of continuous substance use is evident over a period of at least one month. Harm to health of the individual occurs due to one or more of the following: (1) behaviour related to intoxication; (2) direct or secondary toxic effects on body organs and systems; or (3) a harmful route of administration. Harm to health of others includes any form of physical harm, including trauma, or mental disorder that is directly attributable to behaviour related to intoxication due to the specified substance or medication on the part of the person to whom the diagnosis of Harmful pattern of use of other specified psychoactive substance applies.",,category,,Episode of harmful use of other specified psychoactive substance|Other specified psychoactive substance dependence
1994177297,Obsessive-compulsive disorder with poor to absent insight,"All definitional requirements of obsessive-compulsive disorder are met. Most or all of the time, the individual is convinced that the disorder-specific beliefs are true and cannot accept an alternative explanation for their experience. The lack of insight exhibited by the individual does not vary markedly as a function of anxiety level.",,category,,
1111628448,Stereotyped movement disorder,"Stereotyped movement disorder is characterised by the persistent (e.g., lasting several months) presence of voluntary, repetitive, stereotyped, apparently purposeless (and often rhythmic) movements that arise during the early developmental period, are not caused by the direct physiological effects of a substance or medication (including withdrawal), and markedly interfere with normal activities or result in self-inflicted bodily injury. Stereotyped movements that are non-injurious can include body rocking, head rocking, finger-flicking mannerisms, and hand flapping. Stereotyped self-injurious behaviours can include repetitive head banging, face slapping, eye poking, and biting of the hands, lips, or other body parts.",,category,,Tic disorders|Trichotillomania|Abnormal involuntary movements
290515784,"Schizophrenia, continuous, in full remission","All definitional requirements for Schizophrenia, continuous in terms of symptoms and duration were previously met. Symptoms have ameliorated such that no significant symptoms remain. The remission may have occurred in response to medication or other treatment.",,category,,
546689346,Dementia,"Dementia is characterized by the presence of marked impairment in two or more cognitive domains relative to that expected given the individual’s age and general premorbid level of cognitive functioning, which represents a decline from the individual’s previous level of functioning. Memory impairment is present in most forms of dementia, but cognitive impairment is not restricted to memory (i.e., there is impairment in other areas such as executive functions, attention, language, social cognition and judgment, psychomotor speed, visuoperceptual or visuospatial abilities). Neurobehavioural changes may also be present and, in some forms of dementia, may be the presenting symptom. Cognitive impairment is not attributable to normal aging and is severe enough to significantly interfere with independence in an individual’s performance of activities of daily living. The cognitive impairment is presumed to be attributable to an underlying acquired disease of the nervous system, a trauma, an infection or other disease process affecting the brain, or to use of specific substances or medications, nutritional deficiency or exposure to toxins, or the etiology may be undetermined. The impairment is not due to current substance intoxication or withdrawal.",6D80-6D8Z,block,Dementia NOS,Coma|Delirium|Disorders of intellectual development|Neurodevelopmental disorders|Stupor|Ageing associated decline in intrinsic capacity
289492002,Catatonia induced by substances or medications,"Catatonia induced by substances or medications is a syndrome of primarily psychomotor disturbances, characterized by the co-occurrence of several symptoms of decreased, increased, or abnormal psychomotor activity, which develops during or soon after intoxication or withdrawal from certain psychoactive substances, including phencyclidine (PCP), cannabis, hallucinogens such as mescaline or LSD, cocaine and MDMA or related drugs, or during the use of certain psychoactive and non-psychoactive medications (e.g. antipsychotic medications, benzodiazepines, steroids, disulfiram, ciprofloxacin).",,category,,Neuroleptic malignant syndrome|Serotonin syndrome
1367613958,"Dissociative neurological symptom disorder, with paresis or weakness","Dissociative neurological symptom disorder, with paresis or weakness is characterised by a difficulty or inability to intentionally move parts of the body or to coordinate movements that is not consistent with a recognised disease of the nervous system, other mental, behavioural or neurodevelopmental disorder, or other medical condition and does not occur exclusively during another dissociative disorder.",,category,,
405069624,"Sedative, hypnotic or anxiolytic withdrawal, uncomplicated","All diagnostic requirements for Sedative, hypnotic or anxiolytic withdrawal are met and the withdrawal state is not accompanied by perceptual disturbances or seizures.",,category,,
627598840,"Sedative, hypnotic or anxiolytic dependence, sustained partial remission","After a diagnosis of Sedative, hypnotic or anxiolytic dependence, and often following a treatment episode or other intervention (including self-help intervention), there is a significant reduction in sedative, hypnotic or anxiolytic consumption for more than 12 months, such that even though sedative, hypnotic or anxiolytic use has occurred during this period, the definitional requirements for dependence have not been met.",,category,,"Episode of harmful use of sedatives, hypnotics or anxiolytics|Harmful pattern of use of sedatives, hypnotics or anxiolytics"
1922675618,"Single episode depressive disorder, mild","Single episode depressive disorder, mild, is diagnosed when the definitional requirements of a Depressive episode are met and the episode is of mild severity. A depressive episode is characterised by a period of depressed mood or diminished interest in activities occurring most of the day, nearly every day during a period lasting at least two weeks accompanied by other symptoms such as difficulty concentrating, feelings of worthlessness or excessive or inappropriate guilt, hopelessness, recurrent thoughts of death or suicide, changes in appetite or sleep, psychomotor agitation or retardation, and reduced energy or fatigue. In a mild depressive episode, the individual is usually distressed by the symptoms and has some difficulty in continuing to function in one or more domains (personal, family, social, educational, occupational, or other important domains). There are no delusions or hallucinations during the episode.",,category,,
1005846640,Synthetic cathinone-induced psychotic disorder,"Synthetic cathinone-induced psychotic disorder is characterised by psychotic symptoms (e.g., delusions, hallucinations, disorganised thinking, grossly disorganised behaviour) that develop during or soon after intoxication with or withdrawal from synthetic cathinones. The intensity or duration of the symptoms is substantially in excess of psychotic-like disturbances of perception, cognition, or behaviour that are characteristic of Synthetic cathinone intoxication or Synthetic cathinone withdrawal. The amount and duration of synthetic cathinone use must be capable of producing psychotic symptoms. The symptoms are not better explained by a primary mental disorder (e.g., Schizophrenia, a Mood disorder with psychotic symptoms), as might be the case if the psychotic symptoms preceded the onset of the synthetic cathinone use, if the symptoms persist for a substantial period of time after cessation of the synthetic cathinone use or withdrawal, or if there is other evidence of a pre-existing primary mental disorder with psychotic symptoms (e.g., a history of prior episodes not associated with synthetic cathinone use).",,category,,
847208228,"Hallucinogen dependence, current use",Current hallucinogen dependence with hallucinogen use within the past month.,,category,,Episode of harmful use of hallucinogens|Harmful pattern of use of hallucinogens
1691013484,Cocaine dependence,"Cocaine dependence is a disorder of regulation of cocaine use arising from repeated or continuous use of cocaine. The characteristic feature is a strong internal drive to use cocaine, which is manifested by impaired ability to control use, increasing priority given to use over other activities and persistence of use despite harm or negative consequences. These experiences are often accompanied by a subjective sensation of urge or craving to use cocaine. Physiological features of dependence may also be present, including tolerance to the effects of cocaine, withdrawal symptoms following cessation or reduction in use of cocaine, or repeated use of cocaine or pharmacologically similar substances to prevent or alleviate withdrawal symptoms. The features of dependence are usually evident over a period of at least 12 months but the diagnosis may be made if cocaine use is continuous (daily or almost daily) for at least 3 months.",,category,,Episode of harmful use of cocaine|Harmful pattern of use of cocaine
1870346724,Intoxication due to unknown or unspecified psychoactive substance,"Intoxication due to unknown or unspecified psychoactive substance is a transient condition that develops during or shortly after the administration of an unknown or unspecified psychoactive substance that is characterised by disturbances in level of consciousness, cognition, perception, affect or behaviour, or other psychophysiological functions and responses. This diagnosis should be made only when there is strong evidence that an unidentified substance has been taken and the features cannot be accounted for by another disorder or disease.",,category,,
111589839,Alcohol-induced psychotic disorder with mixed psychotic symptoms,"Alcohol-induced psychotic disorder with mixed psychotic symptoms is characterised by the presence of multiple psychotic symptoms, primarily hallucinations and delusions, when these are judged to be the direct consequence of alcohol use. The symptoms do not occur exclusively during hypnogogic or hypnopompic states, are not better accounted for by another mental and behavioural disorder (e.g., schizophrenia), and are not due to another disorder or disease classified elsewhere (e.g., epilepsies with visual symptoms).",,category,,
1562167865,Certain specified synthetic cathinone-induced mental or behavioural disorders,,,category,,
696956921,Secondary psychotic syndrome,"A syndrome characterised by the presence of prominent hallucinations or delusions judged to be a direct pathophysiological consequence of a health condition not classified under mental and behavioural disorders, based on evidence from the history, physical examination, or laboratory findings. The symptoms are not accounted for by delirium or by another mental and behavioural disorder, and are not a psychologically mediated response to a severe medical condition (e.g., an acute stress reaction in response to a life-threatening diagnosis). This category should be used in addition to the diagnosis for the presumed underlying disorder or disease when the psychotic symptoms are sufficiently severe to warrant specific clinical attention.",,category,,Acute and transient psychotic disorder|Delirium|Mood disorders
1379043297,"Certain specified dissociative drug-induced mental or behavioural disorders, including ketamine and phencyclidine [PCP]",,,category,,
988431240,Amnestic disorder due to use of alcohol,"All definitional requirements for amnestic disorder are met. The memory symptoms are judged to be the direct consequence of alcohol use. The intensity and duration of alcohol use must be known to be capable of producing memory impairment. The memory impairment may develop during or soon after alcohol intoxication or withdrawal, but its intensity and duration are substantially in excess of those normally associated with these conditions. The symptoms are not better accounted for by another disorder or medical condition, as might be the case if the amnestic symptoms preceded the onset of the alcohol use.",,category,,Korsakoff syndrome|Wernicke-Korsakoff Syndrome
1119008568,Olfactory reference disorder,"Olfactory Reference Disorder is characterised by persistent preoccupation with the belief that one is emitting a perceived foul or offensive body odour or breath that is either unnoticeable or only slightly noticeable to others. Individuals experience excessive self-consciousness about the perceived odour, often with ideas of reference (i.e., the conviction that people are taking notice, judging, or talking about the odour). In response to their preoccupation, individuals engage in repetitive and excessive behaviours such as repeatedly checking for body odour or checking the perceived source of the smell, or repeatedly seeking reassurance, excessive attempts to camouflage, alter, or prevent the perceived odour, or marked avoidance of social situations or triggers that increase distress about the perceived foul or offensive odour. The symptoms are sufficiently severe to result in significant distress or significant impairment in personal, family, social, educational, occupational or other important areas of functioning.",,category,,
929584708,"Other specified psychoactive substance dependence, sustained full remission","After a diagnosis of Other specified psychoactive substance dependence, and often following a treatment episode or other intervention (including self-intervention), the person has been abstinent from the specified substance for 12 months or longer.",,category,,Episode of harmful use of other specified psychoactive substance|Harmful pattern of use of other specified psychoactive substance
1423983191,Synthetic cathinone-induced anxiety disorder,"Synthetic cathinone-induced anxiety disorder is characterised by anxiety symptoms (e.g., apprehension or worry, fear, physiological symptoms of excessive autonomic arousal, avoidance behaviour) that develop during or soon after intoxication with or withdrawal from synthetic cathinones. The intensity or duration of the symptoms is substantially in excess of anxiety symptoms that are characteristic of Synthetic cathinone intoxication or Synthetic cathinone withdrawal. The amount and duration of synthetic cathinone use must be capable of producing anxiety symptoms. The symptoms are not better explained by a primary mental disorder (e.g., an Anxiety and fear-related disorder, a Depressive disorder with prominent anxiety symptoms), as might be the case if the anxiety symptoms preceded the onset of the synthetic cathinone use, if the symptoms persist for a substantial period of time after cessation of the synthetic cathinone use or withdrawal, or if there is other evidence of a pre-existing primary mental disorder with anxiety symptoms (e.g., a history of prior episodes not associated with synthetic cathinone use).",,category,,
1283290231,Autism spectrum disorder without disorder of intellectual development and with impaired functional language,"All definitional requirements for autism spectrum disorder are met, intellectual functioning and adaptive behaviour are found to be at least within the average range (approximately greater than the 2.3rd percentile), and there is marked impairment in functional language (spoken or signed) relative to the individual’s age, with the individual not able to use more than single words or simple phrases for instrumental purposes, such as to express personal needs and desires.",,category,,
590587802,"Bipolar type II disorder, current episode depressive, moderate without psychotic symptoms","Bipolar type II disorder, current episode depressive, moderate, without psychotic symptoms is diagnosed when the definitional requirements for Bipolar type II disorder have been met and the current episode is depressive at a moderate level of severity and there are no delusions or hallucinations during the episode. A depressive episode is characterised by a period of depressed mood or diminished interest in activities occurring most of the day, nearly every day during a period lasting at least two weeks accompanied by other symptoms such as difficulty concentrating, feelings of worthlessness or excessive or inappropriate guilt, hopelessness, recurrent thoughts of death or suicide, changes in appetite or sleep, psychomotor agitation or retardation, and reduced energy or fatigue. In a moderate depressive episode, several symptoms of a depressive episode are present to a marked degree, or a large number of depressive symptoms of lesser severity are present overall. The individual typically has considerable difficulty functioning in multiple domains (personal, family, social, educational, occupational, or other important domains).",,category,,
2091262725,Stress-related physiological response affecting disorders or diseases classified elsewhere,"All diagnostic requirements for Psychological or behavioural factors affecting disorders or diseases classified elsewhere are met. The individual exhibits stress-related physiological responses that adversely affect the manifestation, treatment, or course of a disorder or disease classified in another chapter (e.g., stress-related exacerbation of ulcer, hypertension, arrhythmia, or tension headache).",,category,,
314468192,Mixed depressive and anxiety disorder,"Mixed depressive and anxiety disorder is characterised by symptoms of both anxiety and depression more days than not for a period of two weeks or more. Depressive symptoms include depressed mood or markedly diminished interest or pleasure in activities. There are multiple anxiety symptoms, which may include feeling nervous, anxious, or on edge, not being able to control worrying thoughts, fear that something awful will happen, having trouble relaxing, muscle tension, or sympathetic autonomic symptoms. Neither set of symptoms, considered separately, is sufficiently severe, numerous, or persistent to justify a diagnosis of another depressive disorder or an anxiety or fear-related disorder. The symptoms result in significant distress or significant impairment in personal, family, social, educational, occupational or other important areas of functioning. There is no history of manic or mixed episodes, which would indicate the presence of a bipolar disorder.",,category,,
148247104,Developmental motor coordination disorder,"Developmental motor coordination disorder is characterised by a significant delay in the acquisition of gross and fine motor skills and impairment in the execution of coordinated motor skills that manifest in clumsiness, slowness, or inaccuracy of motor performance. Coordinated motor skills are markedly below that expected given the individual's chronological age and level of intellectual functioning. Onset of coordinated motor skills difficulties occurs during the developmental period and is typically apparent from early childhood. Coordinated motor skills difficulties cause significant and persistent limitations in functioning (e.g. in activities of daily living, school work, and vocational and leisure activities). Difficulties with coordinated motor skills are not solely attributable to a Disease of the Nervous System, Disease of the Musculoskeletal System or Connective Tissue, sensory impairment, and not better explained by a Disorder of Intellectual Development.",,category,Orofacial motor coordination disorder,Abnormalities of gait and mobility|Diseases of the musculoskeletal system or connective tissue|Diseases of the nervous system
69097373,Obsessive-compulsive or related disorder induced by other specified psychoactive substance,"Obsessive-compulsive or related disorder induced by other specified psychoactive substance is characterised by either repetitive intrusive thoughts or preoccupations, normally associated with anxiety and typically accompanied by repetitive behaviours performed in response, or by recurrent and habitual actions directed at the integument (e.g., hair pulling, skin picking) that develop during or soon after intoxication with or withdrawal from a specified psychoactive substance. The intensity or duration of the symptoms is substantially in excess of analogous disturbances that are characteristic of intoxication with or withdrawal from the specified psychoactive substance. The amount and duration of the specified psychoactive substance use must be capable of producing obsessive-compulsive or related symptoms. The symptoms are not better explained by a primary mental disorder (in particular an Obsessive-compulsive or related disorder), as might be the case if the symptoms preceded the onset of the specified psychoactive substance use, if the symptoms persist for a substantial period of time after cessation of use or withdrawal of the specified psychoactive substance, or if there is other evidence of a pre-existing primary mental disorder with obsessive-compulsive or related symptoms (e.g., a history of prior episodes not associated with specified psychoactive substance use).",,category,,
1314209089,"Sedative, hypnotic or anxiolytic intoxication","Sedative, hypnotic or anxiolytic intoxication is a clinically significant transient condition that develops during or shortly after the consumption of sedatives, hypnotics or anxiolytics that is characterised by disturbances in consciousness, cognition, perception, affect, behaviour, or coordination. These disturbances are caused by the known pharmacological effects of sedatives, hypnotics or anxiolytics and their intensity is closely related to the amount of sedatives, hypnotics or anxiolytics consumed. They are time-limited and abate as sedatives, hypnotics or anxiolytics are cleared from the body. Presenting features may include somnolence, impaired judgment, inappropriate behavior (including sexual behavior or aggression), slurred speech, impaired motor coordination, unsteady gait, mood changes, as well as impaired memory, attention and concentration. Nystagmus (repetitive, uncontrolled eye movements) is a common physical sign. In severe cases stupor or coma may occur.",,category,"""Bad trips"" due to sedatives, hypnotics or anxiolytics","sedative, hypnotic drugs and other CNS depressants poisoning|Possession trance disorder"
912365674,Harmful pattern of use of opioids,"A pattern of use of opioids that has caused damage to a person’s physical or mental health or has resulted in behaviour leading to harm to the health of others. The pattern of opioid use is evident over a period of at least 12 months if substance use is episodic or at least one month if use is continuous (i.e., daily or almost daily). Harm to health of the individual occurs due to one or more of the following: (1) behaviour related to intoxication; (2) direct or secondary toxic effects on body organs and systems; or (3) a harmful route of administration. Harm to health of others includes any form of physical harm, including trauma, or mental disorder that is directly attributable to behaviour related to opioid intoxication on the part of the person to whom the diagnosis of Harmful pattern of use of opioids applies.",,category,,Episode of harmful use of opioids|Opioid dependence
671215150,"Stimulant dependence including amphetamines, methamphetamine or methcathinone, sustained partial remission","After a diagnosis of Stimulant dependence including amphetamines, methamphetamine and methcathinone but excluding caffeine, cocaine and synthetic cathinones, and often following a treatment episode or other intervention (including self-help intervention), there is a significant reduction in amphetamine or other stimulant consumption for more than 12 months, such that even though amphetamine or other stimulant use has occurred during this period, the definitional requirements for dependence have not been met.",,category,,"Episode of harmful use of stimulants including amphetamines, methamphetamine or methcathinone|Harmful pattern of use of stimulants including amphetamines, methamphetamine or methcathinone"
1604145596,"Dissociative neurological symptom disorder, with gait disturbance","Dissociative neurological symptom disorder, with gait disturbance is characterised by symptoms involving the individual’s ability or manner of walking, including ataxia and the inability to stand unaided, that are not consistent with a recognised disease of the nervous system, other mental, behavioural or neurodevelopmental disorder, or other medical condition and do not occur exclusively during another dissociative disorder.",,category,,
1010613155,Mood disorder induced by unknown or unspecified psychoactive substance,"Mood disorder induced by unknown or unspecified psychoactive substance is characterised by mood symptoms (e.g., depressed or elevated mood, decreased engagement in pleasurable activities, increased or decreased energy levels) that develop during or soon after intoxication with or withdrawal from a specified psychoactive substance. The symptoms are not better explained by a primary mental disorder (e.g., a Depressive disorder, a Bipolar disorder, Schizoaffective disorder), as might be the case if the mood symptoms preceded the onset of the use of the unknown or unspecified psychoactive substance, if the symptoms persist for a substantial period of time after cessation of the use of the unknown or unspecified psychoactive substance or withdrawal from the unknown or unspecified psychoactive substance, or if there is other evidence of a pre-existing primary mental disorder with mood symptoms (e.g., a history of prior episodes not associated with the use of the unknown or unspecified psychoactive substance).",,category,,
539693275,"Volatile inhalant dependence, current use",Current volatile inhalant dependence with volatile inhalant use within the past month.,,category,,Episode of harmful use of volatile inhalants|Harmful pattern of use of volatile inhalants
802537726,Current depressive episode with melancholia,"In the context of a current Depressive Episode, several of the following symptoms have been present during the worst period of the current episode: loss of interest or pleasure in most activities that are normally enjoyable to the individual (i.e., pervasive anhedonia); lack of emotional reactivity to normally pleasurable stimuli or circumstances (i.e., mood does not lift even transiently with exposure); terminal insomnia (i.e., waking in the morning two hours or more before the usual time); depressive symptoms are worse in the morning; marked psychomotor retardation or agitation; marked loss of appetite or loss of weight.",,category,,
